season,date,home_team,away_team,home_score,away_score,attendance,is_evening,lat,lon,venue_capacity,stadium_name,temperature_f,precipitation_mm,day_of_week,month,is_weekend,home_game_num,home_games_total,season_progress,is_rivalry,home_win,home_win_rate_last5,opp_win_rate_season,attendance_pct,nyc_mlb_home_game,nyc_nfl_home_game
2016,2016-04-16,Washington Spirit,Boston Breakers,1,0,3578,1,39.1528,-77.3136,4000,Maryland SoccerPlex,67.9,0.0,5,4,1,1,12,0.0833333333333333,0,1,0.5,0.5,0.8945,1,0
2016,2016-04-16,Houston Dash,Chicago Stars FC,3,1,7740,1,29.7522,-95.3524,22039,Shell Energy Stadium,77.0,1.0,5,4,1,1,10,0.1,1,1,0.5,0.5,0.3511956077861972,1,0
2016,2016-04-16,FC Kansas City,Western New York Flash,0,1,8022,1,39.1214,-94.821,18467,Children's Mercy Park,71.8,0.3,5,4,1,1,10,0.1,0,0,0.5,0.5,0.4343964910380679,1,0
2016,2016-04-17,Portland Thorns FC,Orlando Pride,2,1,16073,1,45.5214,-122.6917,25218,Providence Park,78.3,0.0,6,4,1,1,11,0.0909090909090909,0,1,0.5,0.5,0.6373622016020303,1,0
2016,2016-04-17,Seattle Reign FC,Gotham FC,1,2,3987,1,39.8283,-98.5795,38500,Moda Field,61.8,34.4,6,4,1,1,10,0.1,0,0,0.5,0.5,0.1035584415584415,1,0
2016,2016-04-23,Orlando Pride,Houston Dash,3,1,23403,1,28.5389,-81.4028,19500,Camping World Stadium,81.4,0.1,5,4,1,1,10,0.1,0,1,0.5,1.0,1.200153846153846,1,0
2016,2016-04-23,FC Kansas City,Portland Thorns FC,1,1,3022,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,77.8,0.0,5,4,1,2,10,0.2,1,0,0.0,1.0,0.1636432555369036,1,0
2016,2016-04-23,Chicago Stars FC,Western New York Flash,1,0,2529,1,41.7647,-87.8061,20000,SeatGeek Stadium,56.9,0.0,5,4,1,1,10,0.1,0,1,0.5,1.0,0.12645,1,0
2016,2016-04-24,Gotham FC,Washington Spirit,1,2,2571,1,39.8283,-98.5795,25000,Yurcak Field,73.1,11.6,6,4,1,1,10,0.1,0,0,0.5,1.0,0.10284,1,0
2016,2016-04-24,Boston Breakers,Seattle Reign FC,0,3,3743,1,39.8283,-98.5795,10000,Jordan Field,73.1,11.6,6,4,1,1,10,0.1,0,0,0.5,0.0,0.3743,1,0
2016,2016-04-29,Western New York Flash,Washington Spirit,0,3,3615,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,49.5,28.3,4,4,0,1,10,0.1,0,0,0.5,1.0,0.3615,1,0
2016,2016-04-29,Houston Dash,Gotham FC,0,0,5081,1,29.7522,-95.3524,22039,Shell Energy Stadium,83.0,1.9,4,4,0,2,10,0.2,0,0,1.0,0.5,0.2305458505376832,1,0
2016,2016-05-01,Chicago Stars FC,Orlando Pride,1,0,4024,1,41.7647,-87.8061,20000,SeatGeek Stadium,50.9,4.0,6,5,1,2,10,0.2,0,1,1.0,0.5,0.2012,1,0
2016,2016-05-01,Seattle Reign FC,FC Kansas City,1,0,4083,1,39.8283,-98.5795,38500,Moda Field,50.8,0.4,6,5,1,2,10,0.2,0,1,0.0,0.0,0.106051948051948,1,0
2016,2016-05-01,Boston Breakers,Portland Thorns FC,0,1,3698,1,39.8283,-98.5795,10000,Jordan Field,50.8,0.4,6,5,1,2,10,0.2,1,0,0.0,1.0,0.3698,1,0
2016,2016-05-07,Boston Breakers,Chicago Stars FC,0,1,3622,1,39.8283,-98.5795,10000,Jordan Field,80.1,0.1,5,5,1,3,10,0.3,1,0,0.0,0.6666666666666666,0.3622,1,0
2016,2016-05-07,Gotham FC,Western New York Flash,1,2,1252,1,39.8283,-98.5795,25000,Yurcak Field,80.1,0.1,5,5,1,2,10,0.2,0,0,0.0,0.3333333333333333,0.05008,1,0
2016,2016-05-07,Washington Spirit,Portland Thorns FC,0,0,4333,1,39.1528,-77.3136,4000,Maryland SoccerPlex,62.5,1.4,5,5,1,2,12,0.1666666666666666,1,0,1.0,1.0,1.08325,1,0
2016,2016-05-07,FC Kansas City,Houston Dash,1,2,3282,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,80.1,0.1,5,5,1,3,10,0.3,0,0,0.0,0.3333333333333333,0.1777224237829642,1,0
2016,2016-05-08,Orlando Pride,Seattle Reign FC,2,0,8211,1,28.5389,-81.4028,19500,Camping World Stadium,83.7,0.0,6,5,1,2,10,0.2,0,1,1.0,0.6666666666666666,0.421076923076923,1,0
2016,2016-05-13,FC Kansas City,Chicago Stars FC,0,0,2217,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,74.2,0.0,4,5,0,4,10,0.4,1,0,0.0,0.75,0.1200519846212162,1,0
2016,2016-05-13,Gotham FC,Boston Breakers,1,0,1275,1,39.8283,-98.5795,25000,Yurcak Field,74.2,0.0,4,5,0,3,10,0.3,0,1,0.0,0.0,0.051,1,0
2016,2016-05-14,Orlando Pride,Western New York Flash,1,0,7841,1,28.5389,-81.4028,19500,Camping World Stadium,89.2,0.0,5,5,1,3,10,0.3,0,1,1.0,0.5,0.4021025641025641,1,0
2016,2016-05-14,Seattle Reign FC,Portland Thorns FC,1,1,4631,1,39.8283,-98.5795,38500,Moda Field,56.6,0.0,5,5,1,3,10,0.3,1,0,0.5,1.0,0.1202857142857142,1,0
2016,2016-05-14,Washington Spirit,Houston Dash,1,0,3545,1,39.1528,-77.3136,4000,Maryland SoccerPlex,72.4,4.4,5,5,1,3,12,0.25,0,1,0.5,0.5,0.88625,1,0
2016,2016-05-20,Houston Dash,Orlando Pride,0,1,6293,1,29.7522,-95.3524,22039,Shell Energy Stadium,83.8,0.1,4,5,0,3,10,0.3,0,0,0.5,0.6,0.2855392712918009,1,0
2016,2016-05-21,Western New York Flash,Gotham FC,5,2,3910,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,63.4,1.2,5,5,1,2,10,0.2,0,1,0.0,0.6,0.391,1,0
2016,2016-05-21,Portland Thorns FC,Washington Spirit,4,1,15823,1,45.5214,-122.6917,25218,Providence Park,58.3,2.2,5,5,1,2,11,0.1818181818181818,0,1,1.0,0.8,0.6274486477912602,1,0
2016,2016-05-22,Boston Breakers,FC Kansas City,1,0,3288,1,39.8283,-98.5795,10000,Jordan Field,78.0,0.0,6,5,1,4,10,0.4,0,1,0.0,0.0,0.3288,1,0
2016,2016-05-22,Seattle Reign FC,Chicago Stars FC,1,2,4056,1,39.8283,-98.5795,38500,Moda Field,78.0,0.0,6,5,1,4,10,0.4,1,0,0.3333333333333333,0.8,0.1053506493506493,1,0
2016,2016-05-27,Western New York Flash,Boston Breakers,4,0,3940,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,67.4,33.5,4,5,0,3,10,0.3,0,1,0.5,0.1666666666666666,0.394,1,0
2016,2016-05-28,FC Kansas City,Orlando Pride,2,0,3104,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,74.2,0.6,5,5,1,5,10,0.5,0,1,0.0,0.6666666666666666,0.1680836085991227,1,0
2016,2016-05-29,Chicago Stars FC,Gotham FC,1,1,2502,1,41.7647,-87.8061,20000,SeatGeek Stadium,77.3,1.5,6,5,1,3,10,0.3,0,0,1.0,0.5,0.1251,1,0
2016,2016-05-29,Portland Thorns FC,Seattle Reign FC,0,0,18114,1,45.5214,-122.6917,25218,Providence Park,67.2,0.6,6,5,1,3,11,0.2727272727272727,0,0,1.0,0.3333333333333333,0.7182964549131573,1,0
2016,2016-06-10,Boston Breakers,Washington Spirit,1,1,4007,1,39.8283,-98.5795,10000,Jordan Field,90.6,0.1,4,6,0,5,10,0.5,0,0,0.25,0.6666666666666666,0.4007,1,0
2016,2016-06-11,Western New York Flash,Orlando Pride,1,0,4526,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,91.8,0.0,5,6,1,4,10,0.4,0,1,0.6666666666666666,0.5714285714285714,0.4526,1,0
2016,2016-06-11,Gotham FC,FC Kansas City,1,1,2754,1,39.8283,-98.5795,25000,Yurcak Field,91.8,0.0,5,6,1,4,10,0.4,0,0,0.3333333333333333,0.1428571428571428,0.11016,1,0
2016,2016-06-12,Chicago Stars FC,Portland Thorns FC,1,1,3131,1,41.7647,-87.8061,20000,SeatGeek Stadium,78.0,1.4,6,6,1,4,10,0.4,1,0,0.6666666666666666,0.8571428571428571,0.15655,1,0
2016,2016-06-12,Seattle Reign FC,Houston Dash,1,0,4682,1,39.8283,-98.5795,38500,Moda Field,90.0,0.0,6,6,1,5,10,0.5,0,1,0.25,0.3333333333333333,0.1216103896103896,1,0
2016,2016-06-17,Western New York Flash,Portland Thorns FC,0,2,2235,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,97.2,1.0,4,6,0,5,10,0.5,1,0,0.75,0.875,0.2235,1,0
2016,2016-06-18,Chicago Stars FC,Boston Breakers,3,0,2553,1,41.7647,-87.8061,20000,SeatGeek Stadium,82.5,0.0,5,6,1,5,10,0.5,0,1,0.5,0.125,0.12765,1,0
2016,2016-06-18,Washington Spirit,Orlando Pride,2,0,5750,1,39.1528,-77.3136,4000,Maryland SoccerPlex,81.4,0.0,5,6,1,4,12,0.3333333333333333,0,1,0.6666666666666666,0.5,1.4375,1,0
2016,2016-06-19,Houston Dash,FC Kansas City,0,1,4570,1,29.7522,-95.3524,22039,Shell Energy Stadium,87.3,1.4,6,6,1,4,10,0.4,0,0,0.3333333333333333,0.25,0.2073596805662688,1,0
2016,2016-06-19,Gotham FC,Seattle Reign FC,0,0,1542,1,39.8283,-98.5795,25000,Yurcak Field,92.0,0.0,6,6,1,5,10,0.5,0,0,0.25,0.5,0.06168,1,0
2016,2016-06-22,Portland Thorns FC,Chicago Stars FC,2,0,16931,1,45.5214,-122.6917,25218,Providence Park,77.1,0.0,2,6,0,4,11,0.3636363636363636,1,1,0.6666666666666666,0.6666666666666666,0.6713855182805932,1,0
2016,2016-06-23,Orlando Pride,Houston Dash,1,0,6870,1,28.5389,-81.4028,19500,Camping World Stadium,90.8,0.0,3,6,0,4,10,0.4,0,1,1.0,0.25,0.3523076923076923,0,0
2016,2016-06-24,Western New York Flash,Boston Breakers,7,1,3024,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,92.1,3.6,4,6,0,6,10,0.6,0,1,0.6,0.1111111111111111,0.3024,1,0
2016,2016-06-25,Washington Spirit,Gotham FC,1,2,3448,1,39.1528,-77.3136,4000,Maryland SoccerPlex,80.5,0.0,5,6,1,5,12,0.4166666666666667,0,0,0.75,0.4444444444444444,0.862,1,0
2016,2016-06-25,FC Kansas City,Seattle Reign FC,0,0,3041,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,91.3,15.6,5,6,1,6,10,0.6,0,0,0.2,0.5555555555555556,0.1646721178318081,1,0
2016,2016-06-26,Orlando Pride,Portland Thorns FC,1,2,7143,1,28.5389,-81.4028,19500,Camping World Stadium,92.5,8.4,6,6,1,5,10,0.5,1,0,1.0,0.9,0.3663076923076923,1,0
2016,2016-07-01,Western New York Flash,Chicago Stars FC,2,0,3114,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,76.9,2.6,4,7,0,7,10,0.7,1,1,0.8,0.6,0.3114,1,0
2016,2016-07-02,Portland Thorns FC,Gotham FC,2,1,14287,1,45.5214,-122.6917,25218,Providence Park,79.8,0.0,5,7,1,5,11,0.4545454545454545,0,1,0.75,0.5,0.5665397731778888,1,0
2016,2016-07-02,Seattle Reign FC,Boston Breakers,2,0,4356,1,39.8283,-98.5795,38500,Moda Field,76.5,34.9,5,7,1,6,10,0.6,0,1,0.4,0.1,0.1131428571428571,1,0
2016,2016-07-02,Washington Spirit,FC Kansas City,2,0,3036,1,39.1528,-77.3136,4000,Maryland SoccerPlex,79.5,0.0,5,7,1,6,12,0.5,0,1,0.6,0.3,0.759,1,0
2016,2016-07-09,Washington Spirit,Chicago Stars FC,2,0,3631,1,39.1528,-77.3136,4000,Maryland SoccerPlex,89.5,0.2,5,7,1,7,12,0.5833333333333334,1,1,0.6,0.5454545454545454,0.90775,1,0
2016,2016-07-09,Portland Thorns FC,FC Kansas City,1,2,16942,1,45.5214,-122.6917,25218,Providence Park,70.4,4.3,5,7,1,6,11,0.5454545454545454,0,0,0.8,0.2727272727272727,0.6718217146482671,1,0
2016,2016-07-09,Western New York Flash,Seattle Reign FC,3,2,4314,1,39.8283,-98.5795,10000,Frontier Field,87.8,1.1,5,7,1,8,10,0.8,0,1,0.8,0.6363636363636364,0.4314,1,0
2016,2016-07-09,Gotham FC,Houston Dash,1,0,1732,1,39.8283,-98.5795,25000,Yurcak Field,87.8,1.1,5,7,1,6,10,0.6,0,1,0.2,0.2222222222222222,0.06928,1,0
2016,2016-07-10,Orlando Pride,Boston Breakers,2,1,5842,1,28.5389,-81.4028,19500,Camping World Stadium,91.7,2.9,6,7,1,6,10,0.6,0,1,0.8,0.0909090909090909,0.2995897435897436,1,0
2016,2016-07-16,Seattle Reign FC,Western New York Flash,1,1,4521,1,39.8283,-98.5795,38500,Moda Field,88.7,0.6,5,7,1,7,10,0.7,0,0,0.6,0.6666666666666666,0.1174285714285714,1,0
2016,2016-07-16,FC Kansas City,Washington Spirit,2,3,2013,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,88.7,0.6,5,7,1,7,10,0.7,0,0,0.2,0.7272727272727273,0.1090052526127687,1,0
2016,2016-07-16,Orlando Pride,Chicago Stars FC,0,1,7247,1,28.5389,-81.4028,19500,Camping World Stadium,92.1,4.2,5,7,1,7,10,0.7,1,0,0.8,0.5,0.3716410256410256,1,0
2016,2016-07-16,Houston Dash,Portland Thorns FC,3,0,5661,1,29.7522,-95.3524,22039,Shell Energy Stadium,92.8,0.4,5,7,1,5,10,0.5,1,1,0.25,0.8461538461538461,0.2568628340668814,1,0
2016,2016-07-17,Boston Breakers,Gotham FC,2,3,3314,1,39.8283,-98.5795,10000,Jordan Field,94.5,1.7,6,7,1,6,10,0.6,0,0,0.2,0.5,0.3314,1,0
2016,2016-07-23,Gotham FC,Washington Spirit,1,0,1552,1,39.8283,-98.5795,25000,Yurcak Field,100.0,0.1,5,7,1,7,10,0.7,0,1,0.4,0.75,0.06208,1,0
2016,2016-07-23,Chicago Stars FC,Houston Dash,1,1,3621,1,41.7647,-87.8061,20000,SeatGeek Stadium,88.4,3.8,5,7,1,6,10,0.6,0,0,0.6,0.2727272727272727,0.18105,1,0
2016,2016-07-23,Seattle Reign FC,Orlando Pride,5,2,5103,1,39.8283,-98.5795,38500,Moda Field,100.0,0.1,5,7,1,8,10,0.8,0,1,0.4,0.4615384615384615,0.1325454545454545,1,0
2016,2016-07-23,Western New York Flash,FC Kansas City,0,1,3556,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,100.0,0.1,5,7,1,9,10,0.9,0,0,0.8,0.3076923076923077,0.3556,1,0
2016,2016-07-30,Portland Thorns FC,Seattle Reign FC,1,0,19231,1,45.5214,-122.6917,25218,Providence Park,79.5,0.0,5,7,1,7,11,0.6363636363636364,0,1,0.6,0.5714285714285714,0.762590213339678,1,0
2016,2016-07-30,Chicago Stars FC,FC Kansas City,1,0,2550,1,41.7647,-87.8061,20000,SeatGeek Stadium,73.9,10.9,5,7,1,7,10,0.7,0,1,0.4,0.3571428571428571,0.1275,1,0
2016,2016-07-30,Houston Dash,Western New York Flash,3,3,4329,1,29.7522,-95.3524,22039,Shell Energy Stadium,91.2,0.9,5,7,1,6,10,0.6,0,0,0.4,0.6428571428571429,0.1964245201687917,1,0
2016,2016-07-31,Washington Spirit,Gotham FC,3,1,2930,0,39.1528,-77.3136,4000,Maryland SoccerPlex,87.7,1.6,6,7,1,8,12,0.6666666666666666,0,1,0.8,0.5714285714285714,0.7325,1,0
2016,2016-07-31,Boston Breakers,Orlando Pride,1,0,4379,1,39.8283,-98.5795,10000,Jordan Field,91.8,5.9,6,7,1,7,10,0.7,0,1,0.2,0.4285714285714285,0.4379,1,0
2016,2016-08-18,Houston Dash,Washington Spirit,1,2,5012,1,29.7522,-95.3524,22039,Shell Energy Stadium,85.8,10.2,3,8,0,7,10,0.7,0,0,0.2,0.7142857142857143,0.2274150369798992,0,0
2016,2016-08-26,Orlando Pride,Washington Spirit,1,2,7052,1,28.5389,-81.4028,19500,Camping World Stadium,86.5,5.3,4,8,0,8,10,0.8,0,0,0.6,0.7333333333333333,0.3616410256410256,1,0
2016,2016-08-27,Seattle Reign FC,Portland Thorns FC,3,1,5888,1,39.8283,-98.5795,38500,Moda Field,81.4,3.8,5,8,1,9,10,0.9,1,1,0.6,0.8,0.1529350649350649,1,0
2016,2016-08-27,Western New York Flash,Houston Dash,2,2,6449,1,39.8283,-98.5795,10000,Rochester Rinos Stadium,81.4,3.8,5,8,1,10,10,1.0,0,0,0.6,0.2857142857142857,0.6449,1,0
2016,2016-08-27,Gotham FC,Chicago Stars FC,1,3,3108,1,39.8283,-98.5795,25000,Yurcak Field,81.4,3.8,5,8,1,8,10,0.8,1,0,0.6,0.5333333333333333,0.12432,1,0
2016,2016-08-28,FC Kansas City,Boston Breakers,0,2,2206,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,84.8,10.4,6,8,1,8,10,0.8,0,0,0.2,0.1428571428571428,0.1194563275031136,1,0
2016,2016-08-31,Boston Breakers,Houston Dash,1,3,3762,1,39.8283,-98.5795,10000,Jordan Field,75.6,12.6,2,8,0,8,10,0.8,0,0,0.4,0.3333333333333333,0.3762,1,0
2016,2016-09-03,Washington Spirit,Western New York Flash,1,1,4527,1,39.1528,-77.3136,4000,Maryland SoccerPlex,77.7,0.5,5,9,1,9,12,0.75,0,0,0.8,0.625,1.13175,1,0
2016,2016-09-03,Houston Dash,Orlando Pride,4,2,6819,1,29.7522,-95.3524,22039,Shell Energy Stadium,88.6,0.2,5,9,1,8,10,0.8,0,1,0.2,0.375,0.3094060529062117,1,0
2016,2016-09-04,FC Kansas City,Gotham FC,2,1,2414,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,85.3,0.9,6,9,1,9,10,0.9,0,1,0.2,0.5,0.1307196620999621,1,0
2016,2016-09-04,Chicago Stars FC,Seattle Reign FC,2,2,3355,1,41.7647,-87.8061,20000,SeatGeek Stadium,78.6,0.0,6,9,1,8,10,0.8,0,0,0.4,0.5625,0.16775,1,0
2016,2016-09-04,Portland Thorns FC,Boston Breakers,5,1,17152,1,45.5214,-122.6917,25218,Providence Park,65.6,0.0,6,9,1,8,11,0.7272727272727273,0,1,0.6,0.1875,0.6801490998493139,1,0
2016,2016-09-07,Washington Spirit,Seattle Reign FC,2,1,3039,1,39.1528,-77.3136,4000,Maryland SoccerPlex,92.7,6.6,2,9,0,10,12,0.8333333333333334,0,1,0.6,0.5882352941176471,0.75975,1,0
2016,2016-09-07,Boston Breakers,Western New York Flash,2,2,1435,1,39.8283,-98.5795,10000,Jordan Field,86.8,1.6,2,9,0,9,10,0.9,0,0,0.4,0.6470588235294118,0.1435,1,0
2016,2016-09-07,Portland Thorns FC,Houston Dash,3,0,13752,1,45.5214,-122.6917,25218,Providence Park,71.6,0.3,2,9,0,9,11,0.8181818181818182,0,1,0.8,0.4117647058823529,0.5453247680228408,1,0
2016,2016-09-07,Chicago Stars FC,FC Kansas City,2,3,2068,1,41.7647,-87.8061,20000,SeatGeek Stadium,88.2,1.0,2,9,0,9,10,0.9,0,0,0.4,0.3529411764705882,0.1034,1,0
2016,2016-09-07,Gotham FC,Orlando Pride,1,1,2055,1,39.8283,-98.5795,25000,Yurcak Field,86.8,1.6,2,9,0,9,10,0.9,0,0,0.4,0.3529411764705882,0.0822,1,0
2016,2016-09-10,Orlando Pride,Gotham FC,1,2,6788,1,28.5389,-81.4028,19500,Camping World Stadium,86.7,2.6,5,9,1,9,10,0.9,0,0,0.4,0.4444444444444444,0.3481025641025641,1,0
2016,2016-09-11,Portland Thorns FC,Western New York Flash,3,2,21144,1,45.5214,-122.6917,25218,Providence Park,71.9,0.0,6,9,1,10,11,0.9090909090909092,0,1,0.8,0.6666666666666666,0.8384487270996906,1,1
2016,2016-09-11,Seattle Reign FC,Washington Spirit,2,0,4711,1,39.8283,-98.5795,38500,Moda Field,79.0,0.0,6,9,1,10,10,1.0,0,1,0.8,0.7222222222222222,0.1223636363636363,1,1
2016,2016-09-11,Houston Dash,Boston Breakers,4,1,6107,1,29.7522,-95.3524,22039,Shell Energy Stadium,87.1,4.1,6,9,1,9,10,0.9,0,1,0.4,0.1666666666666666,0.2770996869186442,1,1
2016,2016-09-11,FC Kansas City,Chicago Stars FC,0,0,2303,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,79.0,0.0,6,9,1,10,10,1.0,1,0,0.4,0.5,0.1247089402718362,1,1
2016,2016-09-24,Boston Breakers,Western New York Flash,0,4,4027,1,39.8283,-98.5795,10000,Jordan Field,78.4,20.4,5,9,1,10,10,1.0,0,0,0.2,0.631578947368421,0.4027,1,0
2016,2016-09-24,Orlando Pride,FC Kansas City,1,2,7454,1,28.5389,-81.4028,19500,Camping World Stadium,87.4,1.3,5,9,1,10,10,1.0,0,0,0.2,0.3684210526315789,0.3822564102564103,1,0
2016,2016-09-24,Chicago Stars FC,Washington Spirit,3,1,3712,1,41.7647,-87.8061,20000,SeatGeek Stadium,72.1,0.0,5,9,1,10,10,1.0,0,1,0.4,0.6842105263157895,0.1856,1,0
2016,2016-09-25,Houston Dash,Seattle Reign FC,2,3,5651,1,29.7522,-95.3524,22039,Shell Energy Stadium,83.9,15.6,6,9,1,10,10,1.0,0,0,0.6,0.5789473684210527,0.2564090929715504,1,1
2016,2016-09-25,Gotham FC,Portland Thorns FC,1,3,3780,1,39.8283,-98.5795,25000,Yurcak Field,70.9,0.0,6,9,1,10,10,1.0,1,0,0.4,0.7894736842105263,0.1512,1,1
2016,2016-09-30,Washington Spirit,Chicago Stars FC,2,1,4249,1,39.1528,-77.3136,4000,Maryland SoccerPlex,63.1,4.9,4,9,0,11,12,0.9166666666666666,1,1,0.8,0.55,1.06225,1,0
2016,2016-10-02,Portland Thorns FC,Western New York Flash,3,4,20086,1,45.5214,-122.6917,25218,Providence Park,58.7,9.9,6,10,1,11,11,1.0,0,0,0.8,0.65,0.7964945673725117,1,1
2016,2016-10-09,Washington Spirit,Western New York Flash,2,2,8255,1,29.7522,-95.3524,22039,Shell Energy Stadium,79.7,0.0,6,10,1,12,12,1.0,0,0,0.8,0.6666666666666666,0.3745632741957439,0,0
2017,2017-04-15,Houston Dash,Chicago Stars FC,2,0,4484,0,29.7522,-95.3524,22039,Shell Energy Stadium,80.3,1.4,5,4,1,1,12,0.0833333333333333,1,1,0.4,0.5,0.2034575071464222,1,0
2017,2017-04-15,Portland Thorns FC,Orlando Pride,2,0,16145,0,45.5214,-122.6917,25218,Providence Park,56.8,0.3,5,4,1,1,13,0.0769230769230769,0,1,0.8,0.5,0.6402173050995321,1,0
2017,2017-04-15,Seattle Reign FC,Gotham FC,1,1,3521,1,39.8283,-98.5795,38500,UW Medicine Pitch at Memorial Stadium,79.7,1.2,5,4,1,1,12,0.0833333333333333,0,0,0.8,0.5,0.0914545454545454,1,0
2017,2017-04-15,Washington Spirit,North Carolina Courage,0,1,2407,0,39.1528,-77.3136,4000,Maryland SoccerPlex,76.7,0.1,5,4,1,1,12,0.0833333333333333,1,0,0.6,0.5,0.60175,1,0
2017,2017-04-16,FC Kansas City,Boston Breakers,2,0,3340,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,65.5,1.9,6,4,1,1,12,0.0833333333333333,0,1,0.2,0.5,0.1808631613147777,1,0
2017,2017-04-22,Seattle Reign FC,Houston Dash,5,1,2727,1,39.8283,-98.5795,38500,UW Medicine Pitch at Memorial Stadium,62.8,0.0,5,4,1,2,12,0.1666666666666666,0,1,0.6,1.0,0.0708311688311688,1,0
2017,2017-04-22,Orlando Pride,Washington Spirit,1,1,14452,0,28.5411,-81.3893,25500,Inter&Co Stadium,88.5,0.0,5,4,1,1,12,0.0833333333333333,0,0,0.2,0.0,0.5667450980392157,1,0
2017,2017-04-22,Chicago Stars FC,FC Kansas City,1,0,2153,0,41.7647,-87.8061,20000,SeatGeek Stadium,54.6,0.0,5,4,1,1,12,0.0833333333333333,0,1,0.4,1.0,0.10765,1,0
2017,2017-04-22,North Carolina Courage,Portland Thorns FC,1,0,6298,1,39.8283,-98.5795,25218,WakeMed Soccer Park,62.8,0.0,5,4,1,1,14,0.0714285714285714,1,1,0.5,1.0,0.2497422476009199,1,0
2017,2017-04-23,Boston Breakers,Gotham FC,1,0,2329,0,39.8283,-98.5795,10000,Jordan Field,67.5,0.0,6,4,1,1,12,0.0833333333333333,0,1,0.2,1.0,0.2329,1,0
2017,2017-04-29,Portland Thorns FC,Chicago Stars FC,1,0,14471,0,45.5214,-122.6917,25218,Providence Park,61.2,0.1,5,4,1,2,13,0.1538461538461538,1,1,0.8,0.5,0.5738361487826156,1,0
2017,2017-04-29,Boston Breakers,Seattle Reign FC,3,0,2315,1,39.8283,-98.5795,10000,Jordan Field,42.2,10.5,5,4,1,2,12,0.1666666666666666,0,1,0.4,0.5,0.2315,1,0
2017,2017-04-29,North Carolina Courage,Orlando Pride,3,1,4586,0,39.8283,-98.5795,25218,WakeMed Soccer Park,42.2,10.5,5,4,1,2,14,0.1428571428571428,0,1,1.0,0.0,0.1818542311047664,1,0
2017,2017-04-29,Washington Spirit,Houston Dash,0,1,3154,1,39.1528,-77.3136,4000,Maryland SoccerPlex,89.0,0.0,5,4,1,2,12,0.1666666666666666,0,0,0.4,0.5,0.7885,1,0
2017,2017-04-30,Gotham FC,FC Kansas City,1,0,2562,1,39.8283,-98.5795,25000,Yurcak Field,38.8,32.1,6,4,1,1,12,0.0833333333333333,0,1,0.4,0.5,0.10248,1,0
2017,2017-05-06,Washington Spirit,Gotham FC,4,3,3190,1,39.1528,-77.3136,4000,Maryland SoccerPlex,63.5,3.8,5,5,1,3,12,0.25,0,1,0.4,0.6666666666666666,0.7975,1,0
2017,2017-05-06,Portland Thorns FC,Seattle Reign FC,2,2,16160,1,45.5214,-122.6917,25218,Providence Park,57.8,1.4,5,5,1,3,13,0.2307692307692307,0,0,0.8,0.3333333333333333,0.6408121183281783,1,0
2017,2017-05-06,Chicago Stars FC,Houston Dash,2,0,2114,0,41.7647,-87.8061,20000,SeatGeek Stadium,53.4,4.9,5,5,1,2,12,0.1666666666666666,0,1,0.6,0.6666666666666666,0.1057,1,0
2017,2017-05-07,FC Kansas City,Orlando Pride,1,1,2514,1,39.8283,-98.5795,18467,Children's Mercy Victory Field,81.1,0.0,6,5,1,2,12,0.1666666666666666,0,0,0.4,0.0,0.1361347268099853,1,0
2017,2017-05-07,Boston Breakers,North Carolina Courage,0,1,2276,1,39.8283,-98.5795,10000,Jordan Field,81.1,0.0,6,5,1,3,12,0.25,1,0,0.4,1.0,0.2276,1,0
2017,2017-05-13,Seattle Reign FC,Washington Spirit,6,2,3007,0,39.8283,-98.5795,38500,UW Medicine Pitch at Memorial Stadium,73.0,0.0,5,5,1,3,12,0.25,0,1,0.8,0.5,0.0781038961038961,0,0
2017,2017-05-13,Houston Dash,Gotham FC,1,3,5369,0,29.7522,-95.3524,22039,Shell Energy Stadium,85.4,0.0,5,5,1,2,12,0.1666666666666666,0,0,0.6,0.5,0.2436135940832161,0,0
2017,2017-05-13,FC Kansas City,Portland Thorns FC,0,0,1796,0,39.8283,-98.5795,18467,Children's Mercy Victory Field,73.0,0.0,5,5,1,3,12,0.25,1,0,0.4,0.5,0.0972545621920182,0,0
2017,2017-05-14,Orlando Pride,North Carolina Courage,3,1,5260,1,28.5411,-81.3893,25500,Inter&Co Stadium,86.4,0.3,6,5,1,2,12,0.1666666666666666,1,1,0.0,1.0,0.2062745098039215,0,0
